ProductKey,SubcategoryKey,ProductName,SKU,ProductDescription,UnitCost,UnitPrice,WeightKg,DimensionsCm,Color,UoM,IsActive,CreatedDate,ModifiedDate
1,1,Treadmills Model TRD001,TRD001,High-quality treadmills for home and commercial use.,1500.53,2128.59,78.42,200x90x140,Gray,piece,True,2023-01-01,2025-01-04
2,1,Treadmills Model TRD002,TRD002,High-quality treadmills for home and commercial use.,1924.63,2677.37,125.23,200x90x140,Gray,piece,True,2023-01-01,2025-01-04
3,1,Treadmills Model TRD003,TRD003,High-quality treadmills for home and commercial use.,1202.48,1712.69,81.99,200x90x140,Black,piece,True,2023-01-01,2025-01-04
4,1,Treadmills Model TRD004,TRD004,High-quality treadmills for home and commercial use.,1978.16,2880.87,105.1,200x90x140,Blue,piece,True,2023-01-01,2025-01-04
5,1,Treadmills Model TRD005,TRD005,High-quality treadmills for home and commercial use.,677.04,862.96,140.53,200x90x140,Red,piece,True,2023-01-01,2025-01-04
6,1,Treadmills Model TRD006,TRD006,High-quality treadmills for home and commercial use.,510.9,756.78,80.12,200x90x140,Gray,piece,True,2023-01-01,2025-01-04
7,1,Treadmills Model TRD007,TRD007,High-quality treadmills for home and commercial use.,1895.89,2643.38,73.62,200x90x140,Black,piece,True,2023-01-01,2025-01-04
8,1,Treadmills Model TRD008,TRD008,High-quality treadmills for home and commercial use.,1920.74,2347.5,103.87,200x90x140,Black,piece,True,2023-01-01,2025-01-04
9,1,Treadmills Model TRD009,TRD009,High-quality treadmills for home and commercial use.,1481.08,2071.89,90.92,200x90x140,Blue,piece,True,2023-01-01,2025-01-04
10,1,Treadmills Model TRD010,TRD010,High-quality treadmills for home and commercial use.,806.78,1108.35,93.99,200x90x140,Red,piece,True,2023-01-01,2025-01-04
11,1,Treadmills Model TRD011,TRD011,High-quality treadmills for home and commercial use.,1058.65,1551.42,81.21,200x90x140,Gray,piece,True,2023-01-01,2025-01-04
12,2,Exercise Bikes Model BIK001,BIK001,High-quality exercise bikes for home and commercial use.,776.09,1107.94,49.46,120x60x140,Black,piece,True,2023-01-01,2025-01-04
13,2,Exercise Bikes Model BIK002,BIK002,High-quality exercise bikes for home and commercial use.,898.57,1099.51,45.33,120x60x140,Gray,piece,True,2023-01-01,2025-01-04
